PN ID	GSC-II ID	RA	DEC	l	b	Epoch	dist	PA	Class
H 2-8	S223121119091	17:24:45.766	-21:33:35.80	3.704	7.936	1997.244	8.93	156.61	ST
H 3-29	N30110109473	04:37:23.484	25:02:40.94	174.249	-14.604	1994.776	40.82	297.51	PHOT
H 3-75	N30012205391	05:40:45.033	12:21:23.25	193.648	-9.575	1996.864	11.07	236.88	PHOT
H 4-1	N122222312371	12:59:27.781	27:38:10.62	49.319	88.148	1993.288	4.15	326.84	ST
HaTr 1		12:16:33.136	-66:45:45.07	299.495	-4.124	0.000	6.74	7.77	GEO
HaTr 10		18:50:24.745	-1:40:19.90	31.328	-0.534	0.000	11.12	358.07	GEO
HaTr 11		19:02:59.373	03:02:20.77	36.955	-1.180	0.000	1.09	271.05	GEO
HaTr 13		19:08:02.149	02:21:24.25	36.926	-2.613	0.000	0.95	248.41	GEO
HaTr 14		19:09:13.670	07:05:44.86	41.273	-0.696	0.000	3.33	238.11	GEO
HaTr 2		15:30:18.542	-61:01:38.79	321.007	-3.859	0.000	0.88	133.65	GEO
HaTr 3		16:39:37.585	-52:49:13.25	333.488	-4.057	0.000	0.72	249.81	CS
HaTr 4	S2300200605	16:45:00.155	-51:12:19.83	335.253	-3.620	1997.318	1.54	354.73	CS
HaTr 5	S230030324636	17:01:27.984	-43:05:55.12	343.306	-0.662	1997.321	1.25	122.85	CS
HaTr 6		17:51:52.835	-60:23:21.93	332.797	-16.465	0.000	2.05	41.87	GEO
HaTr 8		17:55:55.994	-22:59:02.09	6.301	1.057	0.000	1.35	300.75	GEO
HaTr 9		18:08:58.899	-41:48:38.39	351.094	-10.475	0.000	17.54	321.84	GEO
HaWe 5	N333010316549	03:45:26.642	37:48:51.75	156.910	-13.322	1988.717	3.78	173.16	CS
HaWe 9	S101110129096	06:54:20.787	-25:24:33.50	236.093	-10.636	1994.200	230.39	28.79	CS
Hb 12	N0123212349	23:26:14.814	58:10:54.65	111.879	-2.850	1985.090	0.13	70.43	ST
Hb 4	S222101113	17:41:52.763	-24:42:08.07	3.172	2.929	1996.678	0.38	78.33	PHOT
Hb 5	S222123375	17:47:56.187	-29:59:41.91	359.358	-0.980	1975.373	13.26	144.47	PHOT
Hb 6	S223100057	17:55:07.023	-21:44:39.98	7.277	1.845	1996.680	3.44	52.84	PHOT
Hb 7	S3013212465	18:55:37.950	-32:15:47.07	3.966	-14.903	1996.688	11.93	130.98	PHOT
He 1-1	N023033160775	19:23:46.875	21:06:38.60	55.317	2.720	1987.655	1.59	325.00	PHOT
He 1-2	N023032220416	19:26:37.757	21:09:27.04	55.673	2.157	1986.672	8.46	1.23	ST
He 1-3	N021100339762	19:48:26.422	22:08:37.62	59.015	-1.779	1996.528	84.88	347.21	PHOT
He 1-4	N0332020151823	19:59:18.014	31:54:39.14	68.632	1.180	1989.508	38.79	353.71	PHOT
He 1-5	N0312322119	20:11:56.057	20:20:04.43	60.334	-7.392	1991.750	2.08	300.78	CS
He 1-6	N033201067069	20:17:21.424	25:21:46.78	65.260	-5.691	1990.568	3.64	154.40	PHOT
He 2-101	S212222281662	13:54:55.721	-58:27:16.46	311.175	3.398	1994.186	3.97	124.18	ST
He 2-102	S2122230111	13:58:13.866	-58:54:31.78	311.477	2.851	1999.126	4.53	295.96	PHOT
He 2-104	S2321313350	14:11:52.077	-51:26:24.18	315.481	9.462	1990.452	1.07	79.96	PHOT
He 2-105		14:15:24.803	-74:12:46.61	308.658	-12.282	0.000	5.65	130.82	CS
He 2-107	S213010130654	14:18:43.339	-63:07:09.48	312.614	-1.900	1997.189	5.23	250.86	PHOT
He 2-108	S2321022537	14:18:08.889	-52:10:39.76	316.171	8.452	1982.590	4.25	93.16	PHOT
He 2-109	S2122013607	14:20:48.916	-55:27:59.21	315.432	5.222	1997.167	3.62	359.19	PHOT
He 2-11	S1333232895	08:37:08.445	-39:25:08.09	259.153	0.942	1991.268	77.46	182.27	CS
He 2-111	S213012281806	14:33:18.400	-60:49:35.01	315.033	-0.370	1976.196	9.62	184.36	PHOT
He 2-112	S23210321011	14:40:30.924	-52:34:56.66	319.216	6.807	1998.455	9.65	302.37	PHOT
He 2-113	S23310001607	14:59:53.523	-54:18:07.20	321.050	3.989	1988.490	1.92	80.91	PHOT
He 2-114	S213033321043	15:04:08.800	-60:53:18.78	318.384	-2.062	1987.650	2.42	181.73	PHOT
He 2-115	S211100025947	15:05:16.775	-55:11:10.39	321.304	2.839	1999.186	2.04	200.90	PHOT
He 2-116		15:06:02.190	-61:21:19.93	318.354	-2.580	0.000	10.79	244.95	GEO
He 2-117	S213000359164	15:05:59.193	-55:59:16.53	320.996	2.092	1999.186	4.63	169.88	PHOT
He 2-118	S2331302438	15:06:13.731	-42:59:56.46	327.579	13.331	1989.584	2.15	174.44	PHOT
He 2-119	S2133110498	15:10:40.745	-64:40:28.46	317.140	-5.715	1997.189	10.76	330.53	PHOT
He 2-120		15:11:56.388	-55:39:46.67	321.883	1.953	0.000	5.27	210.71	GEO
He 2-123	S230200171244	15:22:19.360	-54:08:12.77	323.958	2.458	1992.552	4.99	145.71	PHOT
He 2-125	S230203245561	15:23:36.326	-53:51:27.95	324.269	2.589	1992.552	5.88	304.81	ST
He 2-128	S230203349653	15:25:07.841	-51:19:42.29	325.861	4.570	1997.288	1.79	56.35	PHOT
He 2-129	S230203220542	15:25:32.677	-52:50:37.96	325.071	3.274	1992.552	5.06	185.86	ST
He 2-131	S2132231725	15:37:11.210	-71:54:52.89	315.110	-13.081	1985.380	3.10	121.23	ST
He 2-132	S211132011833	15:38:01.182	-58:44:42.07	323.123	-2.564	1997.318	10.85	210.72	PHOT
He 2-133	S2111311428	15:41:58.788	-56:36:25.72	324.826	-1.166	1999.189	23.06	207.92	ST
He 2-136	S2130203625	15:52:10.666	-62:30:46.94	322.178	-6.603	1997.318	9.05	229.64	PHOT
He 2-138	S2133121441	15:56:01.694	-66:09:09.23	320.136	-9.658	1989.540	2.89	229.84	ST
He 2-140	S211131221300	15:58:08.063	-55:41:50.13	327.150	-1.864	1997.321	8.00	108.68	PHOT
He 2-141		15:59:08.762	-58:23:53.15	325.498	-4.006	0.000	3.84	61.06	GEO
He 2-142	S21113129605	15:59:57.608	-55:55:32.89	327.196	-2.204	1997.321	8.44	34.04	PHOT
